start
Vertice: 6803, Nivel: 182, Pai: 84
Vertice: 241, Nivel: 183, Pai: 6803
Vertice: 13575, Nivel: 184, Pai: 241
Vertice: 13574, Nivel: 184, Pai: 241
Vertice: 6683, Nivel: 184, Pai: 241
Vertice: 721, Nivel: 185, Pai: 6683
Vertice: 5401, Nivel: 186, Pai: 721
Vertice: 229, Nivel: 187, Pai: 5401
Vertice: 995, Nivel: 188, Pai: 229
Vertice: 4413, Nivel: 189, Pai: 995
Vertice: 2213, Nivel: 190, Pai: 4413
Vertice: 10102, Nivel: 191, Pai: 2213
Vertice: 535, Nivel: 192, Pai: 10102
Vertice: 213, Nivel: 193, Pai: 535
Vertice: 201, Nivel: 194, Pai: 213
Vertice: 212, Nivel: 195, Pai: 201
Vertice: 108, Nivel: 196, Pai: 212
Vertice: 471, Nivel: 197, Pai: 108
Vertice: 192, Nivel: 198, Pai: 471
Vertice: 86, Nivel: 199, Pai: 192
Vertice: 16420, Nivel: 200, Pai: 86
Vertice: 6650, Nivel: 200, Pai: 86
Vertice: 6674, Nivel: 200, Pai: 86
Vertice: 569, Nivel: 201, Pai: 6674
Vertice: 426, Nivel: 202, Pai: 569
Vertice: 16669, Nivel: 203, Pai: 426
Vertice: 16664, Nivel: 203, Pai: 426
Vertice: 16563, Nivel: 203, Pai: 426
Vertice: 18993, Nivel: 203, Pai: 426
Vertice: 19260, Nivel: 203, Pai: 426
Vertice: 7894, Nivel: 203, Pai: 426
Vertice: 25476, Nivel: 203, Pai: 426
Vertice: 25472, Nivel: 203, Pai: 426
Vertice: 19000, Nivel: 203, Pai: 426
Vertice: 13311, Nivel: 203, Pai: 426
Vertice: 12869, Nivel: 203, Pai: 426
Vertice: 2143, Nivel: 203, Pai: 426
Vertice: 5373, Nivel: 203, Pai: 426
Vertice: 11094, Nivel: 203, Pai: 426
Vertice: 9906, Nivel: 203, Pai: 426
Vertice: 1675, Nivel: 204, Pai: 9906
Vertice: 1688, Nivel: 205, Pai: 1675
Vertice: 16557, Nivel: 206, Pai: 1688
Vertice: 3171, Nivel: 206, Pai: 1688
Vertice: 3172, Nivel: 205, Pai: 1675
Vertice: 2374, Nivel: 206, Pai: 3172
Vertice: 30334, Nivel: 207, Pai: 2374
Vertice: 30267, Nivel: 207, Pai: 2374
Vertice: 6599, Nivel: 206, Pai: 3172
Vertice: 7895, Nivel: 205, Pai: 1675
Vertice: 497, Nivel: 202, Pai: 569
Vertice: 6675, Nivel: 203, Pai: 497
Vertice: 6739, Nivel: 203, Pai: 497
Vertice: 16560, Nivel: 203, Pai: 497
Vertice: 16553, Nivel: 203, Pai: 497
Vertice: 16609, Nivel: 203, Pai: 497
Vertice: 6741, Nivel: 203, Pai: 497
Vertice: 16624, Nivel: 203, Pai: 497
Vertice: 18985, Nivel: 203, Pai: 497
Vertice: 19075, Nivel: 203, Pai: 497
Vertice: 25766, Nivel: 203, Pai: 497
Vertice: 2892, Nivel: 203, Pai: 497
Vertice: 5121, Nivel: 203, Pai: 497
Vertice: 6773, Nivel: 203, Pai: 497
Vertice: 622, Nivel: 204, Pai: 6773
Vertice: 7774, Nivel: 205, Pai: 622
Vertice: 9878, Nivel: 206, Pai: 7774
Vertice: 13312, Nivel: 205, Pai: 622
Vertice: 19340, Nivel: 205, Pai: 622
Vertice: 16678, Nivel: 205, Pai: 622
Vertice: 19084, Nivel: 205, Pai: 622
Vertice: 18997, Nivel: 205, Pai: 622
Vertice: 16718, Nivel: 205, Pai: 622
Vertice: 1678, Nivel: 205, Pai: 622
Vertice: 16566, Nivel: 206, Pai: 1678
Vertice: 25754, Nivel: 206, Pai: 1678
Vertice: 18995, Nivel: 206, Pai: 1678
Vertice: 3547, Nivel: 202, Pai: 569
Vertice: 6817, Nivel: 202, Pai: 569
Vertice: 7808, Nivel: 202, Pai: 569
Vertice: 7898, Nivel: 202, Pai: 569
Vertice: 7771, Nivel: 202, Pai: 569
Vertice: 7807, Nivel: 202, Pai: 569
Vertice: 873, Nivel: 203, Pai: 7807
Vertice: 6818, Nivel: 204, Pai: 873
Vertice: 7814, Nivel: 204, Pai: 873
Vertice: 735, Nivel: 205, Pai: 7814
Vertice: 4072, Nivel: 206, Pai: 735
Vertice: 1824, Nivel: 207, Pai: 4072
Vertice: 26263, Nivel: 208, Pai: 1824
Vertice: 9272, Nivel: 208, Pai: 1824
Vertice: 27941, Nivel: 208, Pai: 1824
Vertice: 3817, Nivel: 206, Pai: 735
Vertice: 6733, Nivel: 206, Pai: 735
Vertice: 983, Nivel: 206, Pai: 735
Vertice: 2900, Nivel: 207, Pai: 983
Vertice: 21683, Nivel: 208, Pai: 2900
Vertice: 12824, Nivel: 206, Pai: 735
Vertice: 792, Nivel: 206, Pai: 735
Vertice: 2986, Nivel: 206, Pai: 735
Vertice: 4512, Nivel: 206, Pai: 735
Vertice: 9877, Nivel: 204, Pai: 873
Vertice: 825, Nivel: 205, Pai: 9877
Vertice: 16472, Nivel: 206, Pai: 825
Vertice: 16623, Nivel: 206, Pai: 825
Vertice: 997, Nivel: 206, Pai: 825
Vertice: 6767, Nivel: 207, Pai: 997
Vertice: 1318, Nivel: 208, Pai: 6767
Vertice: 518, Nivel: 209, Pai: 1318
Vertice: 1342, Nivel: 210, Pai: 518
Vertice: 7773, Nivel: 211, Pai: 1342
Vertice: 5374, Nivel: 211, Pai: 1342
Vertice: 6546, Nivel: 211, Pai: 1342
Vertice: 19083, Nivel: 212, Pai: 6546
Vertice: 5453, Nivel: 210, Pai: 518
Vertice: 3173, Nivel: 210, Pai: 518
Vertice: 692, Nivel: 211, Pai: 3173
Vertice: 6646, Nivel: 212, Pai: 692
Vertice: 7907, Nivel: 212, Pai: 692
Vertice: 2514, Nivel: 213, Pai: 7907
Vertice: 2091, Nivel: 212, Pai: 692
Vertice: 6684, Nivel: 213, Pai: 2091
Vertice: 19081, Nivel: 213, Pai: 2091
Vertice: 25483, Nivel: 212, Pai: 692
Vertice: 19071, Nivel: 212, Pai: 692
Vertice: 19244, Nivel: 212, Pai: 692
Vertice: 19079, Nivel: 212, Pai: 692
Vertice: 16603, Nivel: 212, Pai: 692
Vertice: 2405, Nivel: 210, Pai: 518
Vertice: 25763, Nivel: 211, Pai: 2405
Vertice: 3795, Nivel: 210, Pai: 518
Vertice: 19058, Nivel: 211, Pai: 3795
Vertice: 7757, Nivel: 211, Pai: 3795
Vertice: 7806, Nivel: 210, Pai: 518
Vertice: 19089, Nivel: 210, Pai: 518
Vertice: 19256, Nivel: 210, Pai: 518
Vertice: 19060, Nivel: 210, Pai: 518
Vertice: 6676, Nivel: 210, Pai: 518
Vertice: 19067, Nivel: 209, Pai: 1318
Vertice: 13316, Nivel: 209, Pai: 1318
Vertice: 12370, Nivel: 207, Pai: 997
Vertice: 16629, Nivel: 207, Pai: 997
Vertice: 12825, Nivel: 206, Pai: 825
Vertice: 25484, Nivel: 206, Pai: 825
Vertice: 18991, Nivel: 206, Pai: 825
Vertice: 7813, Nivel: 204, Pai: 873
Vertice: 2525, Nivel: 205, Pai: 7813
Vertice: 16417, Nivel: 206, Pai: 2525
Vertice: 7900, Nivel: 204, Pai: 873
Vertice: 6771, Nivel: 204, Pai: 873
Vertice: 2065, Nivel: 205, Pai: 6771
Vertice: 1041, Nivel: 200, Pai: 86
Vertice: 6784, Nivel: 201, Pai: 1041
Vertice: 3044, Nivel: 202, Pai: 6784
Vertice: 7837, Nivel: 201, Pai: 1041
Vertice: 9916, Nivel: 201, Pai: 1041
Vertice: 19065, Nivel: 201, Pai: 1041
Vertice: 5449, Nivel: 200, Pai: 86
Vertice: 6732, Nivel: 200, Pai: 86
Vertice: 354, Nivel: 201, Pai: 6732
Vertice: 137, Nivel: 202, Pai: 354
Vertice: 401, Nivel: 203, Pai: 137
Vertice: 384, Nivel: 204, Pai: 401
Vertice: 268, Nivel: 205, Pai: 384
Vertice: 682, Nivel: 206, Pai: 268
Vertice: 124, Nivel: 207, Pai: 682
Vertice: 977, Nivel: 208, Pai: 124
Vertice: 1023, Nivel: 209, Pai: 977
Vertice: 434, Nivel: 210, Pai: 1023
Vertice: 2926, Nivel: 211, Pai: 434
Vertice: 581, Nivel: 212, Pai: 2926
Vertice: 13670, Nivel: 213, Pai: 581
Vertice: 7075, Nivel: 213, Pai: 581
Vertice: 6206, Nivel: 213, Pai: 581
Vertice: 199, Nivel: 214, Pai: 6206
Vertice: 14719, Nivel: 215, Pai: 199
Vertice: 5595, Nivel: 215, Pai: 199
Vertice: 16764, Nivel: 215, Pai: 199
Vertice: 15553, Nivel: 215, Pai: 199
Vertice: 16964, Nivel: 215, Pai: 199
Vertice: 1435, Nivel: 215, Pai: 199
Vertice: 238, Nivel: 216, Pai: 1435
Vertice: 3478, Nivel: 217, Pai: 238
Vertice: 843, Nivel: 218, Pai: 3478
Vertice: 16120, Nivel: 219, Pai: 843
Vertice: 1520, Nivel: 219, Pai: 843
Vertice: 778, Nivel: 220, Pai: 1520
Vertice: 729, Nivel: 221, Pai: 778
Vertice: 798, Nivel: 222, Pai: 729
Vertice: 145, Nivel: 223, Pai: 798
Vertice: 5678, Nivel: 224, Pai: 145
Vertice: 3605, Nivel: 224, Pai: 145
Vertice: 1477, Nivel: 224, Pai: 145
Vertice: 6200, Nivel: 225, Pai: 1477
Vertice: 1439, Nivel: 226, Pai: 6200
Vertice: 30222, Nivel: 227, Pai: 1439
Vertice: 4069, Nivel: 227, Pai: 1439
Vertice: 355, Nivel: 228, Pai: 4069
Vertice: 5694, Nivel: 229, Pai: 355
Vertice: 6598, Nivel: 229, Pai: 355
Vertice: 5978, Nivel: 229, Pai: 355
Vertice: 381, Nivel: 230, Pai: 5978
